エリア,サイト名,URL,自動収集,理由,区分,手動URL投入,robots実測
全米,Zillow,https://www.zillow.com,×,利用規約で自動収集を禁止。プロジェクト方針で既に手動のみと決定済み,A 大手ポータル,可,未実施
全米,Realtor.com,https://www.realtor.com,×,利用規約で自動収集を明示的に禁止。写真は掲載ブローカー帰属,A 大手ポータル,可,未実施
全米,Redfin,https://www.redfin.com,×,利用規約で自動収集を禁止。プロジェクト方針で既に手動のみと決定済み,A 大手ポータル,可,未実施
全米,Homes.com,https://www.homes.com,×,利用規約で自動収集を明示的に禁止。写真は掲載ブローカー帰属（CoStar運営）,A 大手ポータル,可,未実施
全米,Trulia,https://www.trulia.com,×,Zillow Group。利用規約はZillowと同系統。config に manual_only として追加が要る,A 大手ポータル,可,未実施
全米,Compass,https://www.compass.com,×,利用規約で自動収集を禁止。プロジェクト方針で既に手動のみと決定済み,A 大手ポータル,可,未実施
全米,Sotheby's International Realty,https://www.sothebysrealty.com,×,掲載物件はMLSからIDXで供給される。IDX参加規約が再配布・スクレイピング・写真の再利用を禁止。自社専任物件と機械的に分離できない,C 仲介・地域ブローカー（IDX）,可,未実施
全米,Christie's International Real Estate,https://www.christiesrealestate.com,×,掲載物件はMLSからIDXで供給される。IDX参加規約が再配布・スクレイピング・写真の再利用を禁止。自社専任物件と機械的に分離できない,C 仲介・地域ブローカー（IDX）,可,未実施
全米,Coldwell Banker,https://www.coldwellbanker.com,×,掲載物件はMLSからIDXで供給される。IDX参加規約が再配布・スクレイピング・写真の再利用を禁止。自社専任物件と機械的に分離できない,C 仲介・地域ブローカー（IDX）,可,未実施
全米,Century 21,https://www.century21.com,×,掲載物件はMLSからIDXで供給される。IDX参加規約が再配布・スクレイピング・写真の再利用を禁止。自社専任物件と機械的に分離できない,C 仲介・地域ブローカー（IDX）,可,未実施
全米,Keller Williams,https://www.kw.com,×,掲載物件はMLSからIDXで供給される。IDX参加規約が再配布・スクレイピング・写真の再利用を禁止。自社専任物件と機械的に分離できない,C 仲介・地域ブローカー（IDX）,可,未実施
全米,RE/MAX,https://www.remax.com,×,掲載物件はMLSからIDXで供給される。IDX参加規約が再配布・スクレイピング・写真の再利用を禁止。自社専任物件と機械的に分離できない,C 仲介・地域ブローカー（IDX）,可,未実施
全米,ERA Real Estate,https://www.era.com,×,掲載物件はMLSからIDXで供給される。IDX参加規約が再配布・スクレイピング・写真の再利用を禁止。自社専任物件と機械的に分離できない,C 仲介・地域ブローカー（IDX）,可,未実施
全米,Homes & Land,https://www.homesandland.com,×,掲載は広告主の提供素材。再配布不可,A 大手ポータル,可,未実施
全米,LoopNet,https://www.loopnet.com,×,CoStar系。スクレイピングへの法的措置の実績あり。商業用で編集方針からも外れる,B 商業用不動産,可,未実施
全米,Crexi,https://www.crexi.com,×,CoStar系。スクレイピングへの法的措置の実績あり。商業用で編集方針からも外れる,B 商業用不動産,可,未実施
Los Angeles,The Agency,https://www.theagencyre.com,×,掲載物件はMLSからIDXで供給される。IDX参加規約が再配布・スクレイピング・写真の再利用を禁止。自社専任物件と機械的に分離できない,C 仲介・地域ブローカー（IDX）,可,未実施
Los Angeles,Hilton & Hyland,https://www.hiltonhyland.com,×,掲載物件はMLSからIDXで供給される。IDX参加規約が再配布・スクレイピング・写真の再利用を禁止。自社専任物件と機械的に分離できない,C 仲介・地域ブローカー（IDX）,可,未実施
Los Angeles,Rodeo Realty,https://www.rodeore.com,×,掲載物件はMLSからIDXで供給される。IDX参加規約が再配布・スクレイピング・写真の再利用を禁止。自社専任物件と機械的に分離できない,C 仲介・地域ブローカー（IDX）,可,未実施
Los Angeles,Beverly Hills Estates,https://www.thebeverlyhillsestates.com,×,掲載物件はMLSからIDXで供給される。IDX参加規約が再配布・スクレイピング・写真の再利用を禁止。自社専任物件と機械的に分離できない,C 仲介・地域ブローカー（IDX）,可,未実施
New York/Brooklyn,StreetEasy,https://streeteasy.com,×,Zillow Group。利用規約はZillowと同系統。config に manual_only として追加が要る,A 大手ポータル,可,未実施
New York/Brooklyn,Corcoran,https://www.corcoran.com,×,掲載物件はMLSからIDXで供給される。IDX参加規約が再配布・スクレイピング・写真の再利用を禁止。自社専任物件と機械的に分離できない,C 仲介・地域ブローカー（IDX）,可,未実施
